id	depth	type	is_leaf	name	path
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-ambient-artists	7	event	true	Ambient artists	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Ambient artists
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-best-selling-music-artists	7	event	true	Best-selling music artists	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Best-selling music artists
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-disco-artists	7	event	true	Disco artists	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Disco artists
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-grammy-hall-of-fame-award-recipients	7	event	true	Grammy Hall of Fame Award recipients	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Grammy Hall of Fame Award recipients
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-hip-hop-artists	7	event	true	Hip hop artists	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Hip hop artists
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-r-b-musicians	7	event	true	R&B musicians	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / R&B musicians
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-soul-musicians	7	event	true	Soul musicians	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Soul musicians
culture-performing-arts-music-lists-opera-houses	5	event	true	Opera houses	Culture / Performing arts / Music / Lists / Opera houses
culture-performing-arts-music-lists-record-labels	5	event	true	Record labels	Culture / Performing arts / Music / Lists / Record labels
culture-performing-arts-music-lists-schools-of-music	5	event	true	Schools of music	Culture / Performing arts / Music / Lists / Schools of music
culture-performing-arts-music-lists-songs-and-compositions	5	event	false	Songs and compositions	Culture / Performing arts / Music / Lists / Songs and compositions
culture-performing-arts-music-lists-songs-and-compositions-albums	6	event	true	Albums	Culture / Performing arts / Music / Lists / Songs and compositions / Albums
culture-performing-arts-music-lists-songs-and-compositions-best-selling-singles-by-year-uk	6	event	true	Best selling singles by year (UK)	Culture / Performing arts / Music / Lists / Songs and compositions / Best selling singles by year (UK)
culture-performing-arts-music-lists-songs-and-compositions-christmas-carols	6	event	true	Christmas carols	Culture / Performing arts / Music / Lists / Songs and compositions / Christmas carols
